ISIN	Currency	Total Buy Count	Total Sell Count	Total Buy Quantity	Total Sell Quantity	Weighted Average Buy Price	Weighted Average Sell Price	Max Buy Price	Min Sell Price
"IT0005211237"	"EUR"	0	0	0	0	0	0	0	0
"FI0009000681"	"EUR"	0	0	0	0	0	0	0	0
"GB00BD3VFW73"	"GBX"	141	294	265894	528173	23153076	23347929	23460000	0
"GB0031348658"	"GBX"	1874	1743	3032398	3043998	15485607	15945786	15636000	0
"JE00BYVQYS01"	"GBX"	116	119	217539	236213	18528866	18822745	18890000	0
"IT0005218380"	"EUR"	0	0	0	0	0	0	0	0
"GB0000811801"	"GBX"	1394	1309	655202	641647	45868767	47601039	46380000	0
"IT0001031084"	"EUR"	0	0	0	0	0	0	0	0
"PTIBS0AM0008"	"EUR"	0	0	0	0	0	0	0	0
"DE000BASF111"	"EUR"	0	16	0	192	0	4175000	0	0
"PTNBA0AM0006"	"EUR"	0	0	0	0	0	0	0	0
"GB00B41H7391"	"GBX"	172	207	134215	175587	33978758	34520530	34300000	0
"JE00BVRZ8S85"	"GBX"	189	204	157188	210754	90306557	91201157	90800000	0
"GG00B8P59C08"	"GBX"	118	127	123425	127500	19991158	20479147	20250000	0
"BE0003717312"	"EUR"	0	0	0	0	0	0	0	0
"AT0000652011"	"EUR"	0	0	0	0	0	0	0	0
"AT0000743059"	"EUR"	0	0	0	0	0	0	0	0
"DE000BAY0017"	"EUR"	138	46	11477	368	4675390	6815000	5400000	0
"DE0005190003"	"EUR"	46	46	5980	874	6956153	9016842	7000000	0
"AT0000937503"	"EUR"	0	0	0	0	0	0	0	0
"AT0000606306"	"EUR"	0	0	0	0	0	0	0	0
"AT0000730007"	"EUR"	0	0	0	0	0	0	0	0
"AT0000831706"	"EUR"	0	0	0	0	0	0	0	0
"AT0000644505"	"EUR"	0	0	0	0	0	0	0	0
"AT0000641352"	"EUR"	0	0	0	0	0	0	0	0
"BE0003678894"	"EUR"	0	0	0	0	0	0	0	0
"DE0005200000"	"EUR"	0	0	0	0	0	0	0	0
"BE0003810273"	"EUR"	0	0	0	0	0	0	0	0
"NO0006000801"	"NOK"	0	0	0	0	0	0	0	0
"CH0360674466"	"CHF"	255	224	23110	16278	7237078	7601903	7525000	0
"GG00BPFJTF46"	"GBX"	299	372	53507	73558	242348057	246998919	246000000	0
"GB00B4YZN328"	"GBX"	138	159	507867	481978	6149624	6259484	6220000	0
"GB00BYT18307"	"GBX"	95	71	18880	24035	122311864	127778747	125400000	0
"GB00BLWDVP51"	"GBX"	55	55	18480	16641	84298928	89992434	85100000	0
"NO0010597883"	"NOK"	0	0	0	0	0	0	0	0
"SE0009922164"	"SEK"	0	0	0	0	0	0	0	0
"DE0005313704"	"EUR"	0	46	0	2921	0	13951181	0	0
"NL0006237562"	"EUR"	0	0	0	0	0	0	0	0
"NL0000334118"	"EUR"	0	0	0	0	0	0	0	0
"NL0011872643"	"EUR"	0	0	0	0	0	0	0	0
"NL0000337319"	"EUR"	0	0	0	0	0	0	0	0
"NL0010583399"	"EUR"	0	0	0	0	0	0	0	0
"NL0011279492"	"EUR"	0	0	0	0	0	0	0	0
"NL0010801007"	"EUR"	0	0	0	0	0	0	0	0
"NL0010937058"	"EUR"	2	0	2000	0	1900000	0	1900000	0
"FR0000131104"	"EUR"	0	0	0	0	0	0	0	0
"NL0011821392"	"EUR"	0	0	0	0	0	0	0	0
"NL0000852523"	"EUR"	0	0	0	0	0	0	0	0
"DE0005103006"	"EUR"	0	0	0	0	0	0	0	0
"DE000A111338"	"EUR"	0	0	0	0	0	0	0	0
"DE000BFB0019"	"EUR"	0	0	0	0	0	0	0	0
"DE0005158703"	"EUR"	0	0	0	0	0	0	0	0
"DE0005419105"	"EUR"	0	0	0	0	0	0	0	0
"CH0126673539"	"CHF"	188	204	13418	13949	7892965	8084047	7950000	0
"DE0005545503"	"EUR"	0	0	0	0	0	0	0	0
"FR0000120503"	"EUR"	0	0	0	0	0	0	0	0
"DE0005550636"	"EUR"	0	0	0	0	0	0	0	0
"GB0007980591"	"GBX"	1974	2253	2146388	2234261	39104611	40639382	40010000	0
"DE0005664809"	"EUR"	23	0	2806	0	1610000	0	1610000	0
"DE000A0Z2ZZ5"	"EUR"	0	0	0	0	0	0	0	0
"DE0005800601"	"EUR"	0	0	0	0	0	0	0	0
"LU0775917882"	"EUR"	0	0	0	0	0	0	0	0
"DE000A1X3W00"	"EUR"	0	0	0	0	0	0	0	0
"GB0002875804"	"GBX"	1822	1893	245071	279392	352147876	364744881	358650000	0
"DE0006632003"	"EUR"	0	0	0	0	0	0	0	0
"DE000A0D6554"	"EUR"	0	0	0	0	0	0	0	0
"GB0001367019"	"GBX"	1362	1188	675788	595934	44107523	44644359	44460000	0
"DE0006452907"	"EUR"	0	0	0	0	0	0	0	0
"DE000A1J5RX9"	"EUR"	0	0	0	0	0	0	0	0
"DE0006916604"	"EUR"	0	0	0	0	0	0	0	0
"GB0030913577"	"GBX"	1270	1396	2066645	2152184	18783263	19173899	19155000	0
"DE000A0DJ6J9"	"EUR"	0	0	0	0	0	0	0	0
"AT0000A0E9W5"	"EUR"	0	0	0	0	0	0	0	0
"NL0000817179"	"EUR"	0	0	0	0	0	0	0	0
"DE000A2GS401"	"EUR"	0	0	0	0	0	0	0	0
"GB00B0744B38"	"GBX"	1142	983	139471	118203	273695723	276192148	275300000	0
"GB0031743007"	"GBX"	1155	1175	187697	192529	164536984	166154538	165700000	0
"DE0007165631"	"EUR"	0	0	0	0	0	0	0	0
"DE0005089031"	"EUR"	0	0	0	0	0	0	0	0
"IT0001347308"	"EUR"	0	0	0	0	0	0	0	0
"DE000WAF3001"	"EUR"	0	0	0	0	0	0	0	0
"NL0000289213"	"EUR"	0	0	0	0	0	0	0	0
"NL0012650360"	"GBX"	45	61	6739	7986	194344635	197830453	197300000	0
"GB00BYQB9V88"	"GBX"	90	102	119330	192369	15340378	15819767	15500000	0
"IT0005278236"	"EUR"	0	0	0	0	0	0	0	0
"ES0140609019"	"EUR"	0	0	0	0	0	0	0	0
"FR0000131757"	"EUR"	0	23	0	207	0	13110000	0	0
"AT0000BAWAG2"	"EUR"	0	0	0	0	0	0	0	0
"AT0000APOST4"	"EUR"	0	0	0	0	0	0	0	0
